ID,Name,Age,Gender,Department, Salary ,Years_of_Experience,Region,Satisfaction_Score,Promotion_Status
87,Liam,38,Female,R&D,"$66,986.81 ",18,South,4,Yes
88,John,61,Male,IT,"$58,596.92 ",32,West,8,No
89,Sophia,47,Male,IT,"$82,373.51 ",33,East,5,No
90,Anna,56,Female,HR,"$114,418.12 ",10,West,4,Yes
91,Olivia,37,Male,Finance,"$55,604.71 ",9,East,4,No
92,Sophia,41,Female,IT,"$71,296.66 ",25,North,2,No
93,Anna,40,Female,Finance,"$88,960.52 ",13,North,10,Yes
94,Liam,24,Male,Sales,"$106,022.54 ",5,West,9,No
95,Liam,26,Female,Finance,"$52,800.05 ",31,West,9,No
96,Liam,18,Male,Marketing,"$55,226.10 ",31,South,1,Yes
97,Anna,43,Female,Finance,"$109,664.90 ",34,South,4,No
98,Sophia,55,Female,IT,"$37,223.23 ",26,East,9,Yes
99,Liam,55,Male,Finance,"$84,490.28 ",7,North,4,Yes
100,Emma,61,Female,Finance,"$107,440.99 ",20,West,2,No
101,Noah,39,Male,Marketing,"$112,956.85 ",22,North,2,Yes
102,Anna,61,Female,Marketing,"$31,141.85 ",5,West,10,Yes
103,Anna,27,Female,HR,"$63,269.94 ",12,East,9,No
104,Sophia,23,Female,IT,"$53,153.83 ",21,North,4,Yes
105,Anna,34,Female,HR,"$81,122.93 ",9,South,1,Yes
106,Anna,55,Male,Marketing,"$86,957.60 ",29,East,1,No
107,Liam,41,Female,Finance,"$119,979.70 ",27,North,1,No
108,Sophia,27,Female,Marketing,"$76,148.62 ",17,East,8,No
109,Liam,25,Female,Sales,"$79,632.02 ",24,West,1,Yes
110,Noah,38,Male,Finance,"$67,288.22 ",27,North,5,No
111,Olivia,23,Male,HR,"$43,290.95 ",8,North,9,No
112,Noah,38,Male,Finance,"$57,299.22 ",29,North,4,No
113,Olivia,56,Male,Sales,"$52,228.64 ",19,South,9,Yes
114,Liam,41,Female,Marketing,"$102,109.77 ",10,East,5,No
115,Noah,50,Female,IT,"$79,123.48 ",24,South,9,Yes
116,Sophia,35,Female,R&D,"$56,657.43 ",34,South,2,Yes
117,John,45,Male,IT,"$74,018.36 ",31,East,8,Yes
118,Liam,49,Male,IT,"$49,697.84 ",4,East,7,Yes
119,Olivia,29,Female,Marketing,"$46,661.44 ",31,North,7,No
120,Emma,59,Female,IT,"$107,394.80 ",9,North,3,Yes
121,Olivia,44,Female,Sales,"$115,032.98 ",26,East,10,No
122,Emma,27,Male,Marketing,"$37,201.31 ",13,North,2,No
123,Anna,63,Female,IT,"$98,839.44 ",26,West,10,No
124,Noah,59,Female,R&D,"$70,798.04 ",1,North,1,Yes
125,Emma,49,Male,HR,"$65,007.45 ",9,East,1,No
126,Olivia,59,Male,Marketing,"$92,047.02 ",31,South,7,No
127,Anna,43,Female,Marketing,"$53,962.83 ",24,East,9,No
128,John,42,Male,Finance,"$31,852.31 ",22,East,1,No
129,Sophia,28,Female,IT,"$49,260.26 ",9,South,10,Yes
130,Sophia,40,Female,HR,"$46,643.26 ",39,West,4,No
131,Sophia,51,Female,R&D,"$33,064.44 ",23,North,2,Yes
132,Emma,57,Female,Sales,"$58,918.39 ",20,West,8,Yes
133,John,40,Male,Marketing,"$72,706.67 ",21,South,9,No
134,Emma,46,Male,Sales,"$96,224.58 ",27,West,3,Yes
135,Noah,48,Male,Sales,"$59,309.52 ",5,South,3,No
136,Emma,24,Female,Sales,"$47,508.62 ",17,East,7,No
137,John,57,Female,Finance,"$50,755.78 ",34,West,9,Yes
138,John,50,Female,Sales,"$110,205.94 ",9,North,7,No
139,Noah,38,Male,IT,"$48,424.84 ",34,North,7,No
140,John,19,Male,IT,"$109,131.66 ",10,South,2,No
141,Olivia,35,Female,HR,"$70,238.91 ",2,East,1,Yes
142,John,64,Male,HR,"$114,096.04 ",25,West,2,No
143,Sophia,50,Male,R&D,"$66,728.29 ",3,West,6,No
144,Olivia,54,Male,Sales,"$45,991.46 ",34,South,10,Yes
145,Olivia,51,Male,Sales,"$79,412.69 ",7,West,8,Yes
146,Noah,37,Female,Finance,"$82,893.59 ",28,North,8,No
147,Mike,52,Male,Sales,"$87,194.04 ",9,North,6,No
148,Mike,35,Female,Sales,"$67,034.70 ",11,West,2,No
149,John,63,Male,Sales,"$34,374.12 ",29,West,9,No
150,Olivia,41,Female,Marketing,"$86,404.79 ",16,East,10,No
151,Mike,25,Female,Marketing,"$113,972.71 ",39,East,4,No
152,Mike,47,Male,Finance,"$116,180.28 ",29,West,5,Yes
153,John,61,Female,Finance,"$83,719.68 ",13,West,1,Yes
154,Mike,27,Female,IT,"$31,789.83 ",35,South,9,No
155,Emma,40,Male,Finance,"$39,543.46 ",11,East,10,Yes
156,Anna,28,Female,R&D,"$105,059.15 ",35,West,1,Yes
157,Noah,19,Male,IT,"$104,677.00 ",8,South,7,Yes
158,Anna,43,Female,Sales,"$115,141.40 ",7,East,9,No
159,John,53,Male,Finance,"$80,739.70 ",5,South,3,Yes
160,Sophia,50,Male,R&D,"$107,743.47 ",6,West,2,Yes
161,Noah,64,Male,Finance,"$104,239.82 ",35,North,10,Yes
162,John,30,Male,Finance,"$83,047.87 ",30,North,8,No
163,Olivia,57,Male,IT,"$100,527.38 ",11,North,4,Yes
164,Sophia,42,Female,IT,"$41,313.95 ",38,North,1,No
165,Anna,21,Female,HR,"$87,528.25 ",27,West,8,No
166,John,59,Male,IT,"$115,810.59 ",21,North,6,Yes
167,Olivia,36,Female,IT,"$44,576.17 ",14,North,6,Yes
168,Noah,35,Female,Marketing,"$96,963.84 ",35,West,4,No
169,Noah,54,Female,Finance,"$58,870.72 ",29,East,6,Yes
170,Liam,47,Male,IT,"$103,539.35 ",24,East,2,No
171,Olivia,36,Male,Finance,"$92,748.98 ",36,East,6,No
172,Emma,40,Female,Finance,"$113,355.68 ",32,South,2,No
173,Mike,33,Male,Marketing,"$94,074.19 ",6,East,6,No
174,Sophia,18,Male,Finance,"$66,927.95 ",10,West,9,Yes
175,Olivia,29,Female,R&D,"$30,980.33 ",20,East,7,No
176,Liam,41,Male,IT,"$101,362.52 ",20,South,4,No
177,Mike,51,Male,Finance,"$66,761.85 ",26,South,1,No
178,Mike,25,Male,HR,"$90,357.07 ",21,North,9,No
179,John,35,Male,HR,"$39,455.98 ",23,West,1,No
180,Mike,22,Male,Marketing,"$110,187.18 ",12,East,5,No
181,Emma,43,Female,R&D,"$69,209.20 ",13,East,7,Yes
182,Noah,47,Male,IT,"$112,772.26 ",10,West,10,Yes
183,Liam,30,Male,Marketing,"$93,631.57 ",7,West,10,No
184,Mike,36,Female,HR,"$40,931.60 ",37,West,6,Yes
185,John,46,Female,R&D,"$82,127.70 ",12,West,3,No
186,Emma,20,Male,IT,"$111,894.10 ",25,West,8,Yes
187,Anna,43,Female,Finance,"$101,997.35 ",2,West,7,No
188,Noah,57,Male,IT,"$67,618.24 ",26,West,9,No
189,Noah,29,Female,Sales,"$115,955.80 ",5,South,1,No
190,Liam,19,Male,IT,"$54,171.86 ",8,North,8,Yes
191,Noah,28,Female,Finance,"$63,759.69 ",9,East,4,Yes
192,Mike,61,Male,Sales,"$97,474.28 ",39,South,7,Yes
193,John,45,Female,R&D,"$50,961.41 ",20,South,7,Yes
194,Noah,35,Male,Marketing,"$76,383.70 ",11,East,4,No
195,Noah,30,Male,R&D,"$95,591.03 ",22,South,8,No
196,Anna,54,Male,IT,"$87,957.10 ",16,West,1,Yes
197,Anna,39,Female,Marketing,"$43,983.29 ",38,South,5,No
198,Sophia,29,Female,IT,"$86,669.43 ",10,East,4,Yes
199,Emma,19,Male,HR,"$81,543.95 ",25,North,4,No
200,Mike,54,Male,HR,"$80,206.03 ",19,East,3,No
201,Noah,24,Male,Finance,"$104,344.25 ",4,North,1,Yes
202,Olivia,43,Male,R&D,"$46,550.64 ",19,West,5,Yes
203,Noah,43,Female,HR,"$97,640.94 ",3,South,8,No
204,John,41,Female,Sales,"$98,483.34 ",17,East,10,Yes
205,Sophia,29,Female,Sales,"$95,038.09 ",14,East,6,No
206,Emma,33,Male,IT,"$75,537.15 ",10,North,1,No
207,Olivia,40,Male,Marketing,"$65,598.49 ",6,South,5,No
208,Sophia,57,Female,Sales,"$65,520.94 ",31,East,6,No
209,Liam,26,Female,IT,"$96,042.78 ",31,East,9,No
210,Emma,49,Female,Marketing,"$74,810.70 ",9,South,9,No
211,Noah,32,Female,HR,"$60,459.04 ",12,West,5,No
212,Noah,54,Male,IT,"$86,292.27 ",26,North,3,No
213,Emma,30,Male,Marketing,"$105,331.01 ",2,East,6,Yes
214,Noah,22,Male,Finance,"$35,535.79 ",4,South,8,No
215,Mike,28,Female,R&D,"$117,492.33 ",32,West,5,No
216,Emma,27,Male,R&D,"$38,698.67 ",28,East,8,No
217,Sophia,30,Female,Finance,"$76,056.43 ",6,West,1,Yes
218,Emma,58,Female,Sales,"$80,418.86 ",30,East,8,No
219,Olivia,63,Female,R&D,"$42,438.96 ",28,East,2,Yes
220,Noah,32,Female,Marketing,"$112,403.44 ",13,West,7,Yes
221,Mike,59,Female,Finance,"$72,432.04 ",36,North,2,Yes
222,Mike,24,Male,Sales,"$42,880.85 ",10,West,3,No
223,Liam,57,Male,IT,"$94,045.12 ",10,South,5,No
224,Sophia,45,Male,IT,"$89,706.39 ",5,East,10,No
225,Anna,49,Female,Marketing,"$116,657.90 ",29,West,7,No
226,Anna,52,Male,Marketing,"$69,736.47 ",36,West,9,Yes
227,Emma,32,Female,Marketing,"$54,101.64 ",12,East,5,No
228,Liam,53,Male,R&D,"$35,399.46 ",22,East,1,Yes
229,John,38,Female,Marketing,"$95,980.94 ",39,West,3,Yes
230,Emma,23,Female,Finance,"$85,554.99 ",2,North,5,No
231,Liam,18,Male,Finance,"$117,534.98 ",14,East,3,No
232,Sophia,21,Female,Sales,"$94,094.85 ",10,West,8,Yes
233,Sophia,28,Male,Finance,"$113,984.53 ",3,South,8,Yes
234,Sophia,61,Male,R&D,"$119,242.09 ",8,North,1,No
235,Sophia,43,Male,IT,"$68,558.80 ",17,South,8,No
236,Sophia,54,Female,Sales,"$43,526.55 ",4,East,4,No
237,Liam,40,Female,Finance,"$47,626.57 ",21,East,6,Yes
238,Liam,46,Female,Marketing,"$58,653.77 ",30,North,10,Yes
239,Mike,38,Female,Finance,"$75,800.62 ",19,East,8,Yes
240,Olivia,62,Male,HR,"$41,017.80 ",15,South,2,Yes
241,Anna,62,Female,Sales,"$57,154.61 ",20,West,8,No
242,Noah,44,Male,R&D,"$57,701.45 ",30,West,7,No
243,Sophia,56,Male,Finance,"$30,367.71 ",10,South,4,No
244,John,57,Female,Finance,"$61,875.19 ",23,South,5,No
245,Noah,30,Female,R&D,"$40,453.70 ",24,East,6,No
246,Liam,40,Male,IT,"$68,674.02 ",12,East,3,No
247,John,33,Female,Marketing,"$47,688.31 ",9,North,2,Yes
248,John,47,Male,Marketing,"$103,990.28 ",15,West,2,No
249,John,21,Female,IT,"$37,247.28 ",29,North,4,Yes
250,Mike,57,Female,IT,"$107,909.44 ",18,South,7,No
251,Liam,33,Male,HR,"$82,247.40 ",20,South,1,No
252,John,48,Male,R&D,"$71,277.66 ",1,North,1,No
253,Sophia,59,Male,Sales,"$79,476.81 ",3,North,4,Yes
254,Emma,42,Female,Marketing,"$63,849.82 ",8,West,9,Yes
255,John,61,Female,IT,"$41,485.07 ",39,South,5,Yes
256,Mike,29,Female,IT,"$98,929.18 ",31,North,1,No
257,Noah,43,Male,R&D,"$113,512.04 ",8,West,3,Yes
258,Liam,54,Male,Sales,"$115,506.09 ",15,East,6,No
259,Olivia,50,Female,IT,"$90,364.04 ",22,East,3,No
260,Mike,45,Male,HR,"$66,931.27 ",32,West,6,No
261,John,26,Female,Sales,"$73,052.40 ",5,North,6,Yes
262,Liam,29,Male,HR,"$89,126.91 ",9,West,5,Yes
263,Emma,22,Female,Finance,"$104,076.53 ",15,West,10,Yes
264,John,45,Female,Marketing,"$63,711.04 ",37,North,5,No
265,Mike,52,Female,IT,"$112,510.31 ",33,East,9,Yes
266,Anna,22,Male,Sales,"$59,184.49 ",22,West,3,No
267,Sophia,51,Male,HR,"$77,777.38 ",11,East,10,No
268,Olivia,63,Female,Marketing,"$116,522.56 ",6,West,7,Yes
269,Noah,51,Female,Marketing,"$114,437.90 ",17,South,4,No
270,Mike,30,Female,IT,"$92,617.06 ",5,North,2,No
271,Liam,56,Female,Marketing,"$59,210.42 ",39,East,10,No
272,Olivia,59,Female,IT,"$49,713.15 ",9,North,3,Yes
273,Olivia,62,Female,Finance,"$37,212.90 ",29,East,3,No
274,Olivia,31,Male,IT,"$93,778.90 ",23,East,3,No
275,John,28,Male,R&D,"$75,310.56 ",36,North,3,Yes
276,Sophia,59,Male,HR,"$81,505.89 ",31,West,10,Yes
277,John,55,Male,R&D,"$72,515.30 ",20,West,6,No
278,Liam,21,Female,Marketing,"$73,465.18 ",23,South,6,Yes
279,John,50,Female,Marketing,"$81,414.63 ",7,East,9,Yes
280,Anna,24,Female,Marketing,"$112,283.58 ",36,North,8,No
281,Sophia,58,Male,IT,"$32,642.97 ",4,East,10,No
282,Sophia,25,Male,Sales,"$102,147.31 ",24,West,7,No
283,Liam,54,Female,IT,"$65,146.46 ",14,North,2,Yes
284,Noah,27,Male,HR,"$97,043.18 ",25,North,10,Yes
285,Anna,60,Male,IT,"$115,367.37 ",7,East,2,No
286,Mike,32,Female,Marketing,"$57,565.83 ",15,South,1,No
287,John,55,Female,Finance,"$38,059.92 ",13,West,7,Yes
288,Emma,32,Female,HR,"$50,906.86 ",19,West,7,No
289,John,22,Male,R&D,"$49,988.35 ",12,East,1,No
290,Olivia,46,Female,Finance,"$96,766.45 ",26,East,6,Yes
291,John,36,Female,HR,"$35,567.24 ",33,South,7,Yes
292,Mike,27,Female,HR,"$34,584.02 ",15,West,1,No
293,John,29,Male,Marketing,"$92,424.77 ",37,South,6,No
294,Anna,21,Male,R&D,"$80,104.77 ",6,North,10,No
295,Anna,48,Female,IT,"$67,599.08 ",25,North,9,Yes
296,Sophia,35,Female,R&D,"$81,783.16 ",17,South,1,No
297,Liam,33,Male,Marketing,"$96,172.31 ",36,South,2,No
298,Noah,57,Male,Marketing,"$39,312.42 ",9,East,2,Yes
299,Emma,53,Female,Marketing,"$79,795.78 ",28,West,10,Yes
300,Olivia,42,Male,Finance,"$104,197.51 ",35,West,3,Yes
301,John,40,Female,R&D,"$62,618.63 ",3,West,4,Yes
302,John,29,Female,R&D,"$98,671.62 ",11,South,7,Yes
303,Mike,51,Male,HR,"$106,087.88 ",20,East,3,No
304,Liam,53,Female,Sales,"$103,883.63 ",23,East,7,Yes
305,Anna,54,Female,IT,"$88,532.08 ",30,East,5,No
306,Emma,20,Male,Marketing,"$94,561.01 ",37,South,5,Yes
307,Sophia,26,Female,R&D,"$100,890.77 ",36,South,7,No
308,Anna,35,Male,R&D,"$96,033.84 ",12,East,7,Yes
309,Olivia,60,Female,HR,"$70,651.21 ",36,South,7,Yes
310,Liam,52,Female,IT,"$44,320.88 ",35,North,9,Yes
311,Olivia,51,Male,Sales,"$57,875.75 ",34,West,1,No
312,Noah,58,Male,Sales,"$48,652.19 ",4,West,1,No
313,Sophia,31,Male,Marketing,"$62,529.97 ",24,West,3,Yes
314,Noah,21,Male,Sales,"$74,039.80 ",36,North,6,No
315,Mike,46,Male,Sales,"$116,314.20 ",28,East,2,No
316,Olivia,58,Male,IT,"$116,351.65 ",39,West,9,No
317,Mike,62,Female,IT,"$99,262.97 ",2,South,1,Yes
318,John,32,Male,Marketing,"$118,212.63 ",5,North,5,Yes
319,Noah,45,Female,R&D,"$119,821.42 ",28,East,7,Yes
320,Liam,59,Male,HR,"$109,673.11 ",13,North,10,No
321,Olivia,33,Female,Marketing,"$37,155.32 ",36,West,3,No
322,Emma,29,Female,Finance,"$68,343.97 ",9,East,2,No
323,Sophia,22,Male,Sales,"$78,070.80 ",39,West,3,Yes
324,Anna,51,Female,HR,"$41,167.43 ",30,East,7,Yes
325,Liam,59,Female,R&D,"$102,776.76 ",27,West,1,No
326,Liam,18,Female,R&D,"$43,381.51 ",13,East,8,Yes
327,Mike,56,Male,IT,"$64,499.59 ",39,North,3,No
328,Noah,49,Male,Finance,"$36,202.10 ",28,East,5,Yes
329,Olivia,43,Female,R&D,"$77,213.38 ",18,East,10,No
330,Olivia,34,Male,Finance,"$83,733.73 ",34,North,5,Yes
331,John,44,Male,Sales,"$96,165.92 ",21,East,6,No
332,John,41,Female,IT,"$60,551.53 ",1,North,7,Yes
333,Sophia,52,Female,HR,"$83,147.83 ",23,West,1,No
334,Mike,63,Male,IT,"$96,073.26 ",34,West,6,Yes
335,Liam,59,Male,Sales,"$98,583.16 ",36,West,2,No
336,Olivia,56,Male,R&D,"$57,147.77 ",9,East,10,No
337,Emma,43,Female,Finance,"$36,093.35 ",8,South,3,No
338,Mike,55,Male,Sales,"$33,385.75 ",30,South,5,Yes
339,Sophia,40,Male,R&D,"$99,125.43 ",36,West,1,Yes
340,Sophia,39,Male,Marketing,"$64,689.50 ",36,North,7,Yes
341,Mike,21,Female,Finance,"$42,054.84 ",18,East,1,No
342,Sophia,26,Female,Sales,"$46,604.00 ",2,North,8,No
343,Mike,21,Female,HR,"$98,953.54 ",11,East,6,Yes
344,Anna,24,Male,HR,"$83,901.18 ",36,North,1,No
345,Mike,40,Male,R&D,"$75,126.28 ",31,West,7,Yes
346,Noah,19,Female,R&D,"$86,070.68 ",31,South,10,No
347,Mike,41,Male,HR,"$42,374.96 ",24,North,3,No
348,Sophia,57,Male,Marketing,"$58,713.80 ",21,West,7,Yes
349,Olivia,48,Male,IT,"$63,665.72 ",32,South,8,No
350,Noah,64,Female,HR,"$58,304.80 ",30,South,10,No
351,Sophia,48,Male,R&D,"$107,797.47 ",8,South,3,No
352,John,64,Male,R&D,"$82,327.90 ",33,North,5,No
353,John,57,Female,Marketing,"$95,638.93 ",39,North,10,No
354,Olivia,60,Male,HR,"$51,303.55 ",1,South,2,No
355,Olivia,51,Female,Marketing,"$53,766.66 ",33,North,2,No
356,Noah,41,Male,HR,"$50,280.24 ",13,West,1,Yes
357,Anna,43,Female,IT,"$91,918.16 ",22,East,3,Yes
358,Olivia,33,Female,Sales,"$61,413.69 ",5,South,4,No
359,John,64,Male,HR,"$66,457.57 ",12,East,3,No
360,Mike,30,Male,Sales,"$93,820.94 ",29,South,8,No
361,Sophia,32,Female,HR,"$117,461.88 ",3,East,1,No
362,John,44,Male,IT,"$44,568.78 ",36,South,5,Yes
363,John,21,Female,R&D,"$35,640.86 ",11,West,7,No
364,Anna,33,Male,Sales,"$47,536.13 ",26,South,9,Yes
365,Noah,47,Male,Marketing,"$96,146.46 ",2,West,1,Yes
366,Noah,61,Male,HR,"$47,516.46 ",29,South,9,No
367,Liam,47,Male,R&D,"$82,591.72 ",29,North,9,Yes
368,Anna,53,Female,HR,"$83,128.49 ",36,East,4,No
369,Mike,20,Female,Marketing,"$56,498.08 ",19,West,10,Yes
370,Noah,39,Male,IT,"$36,185.37 ",10,South,5,Yes
371,Sophia,39,Male,Finance,"$65,928.05 ",11,North,6,No
372,Olivia,29,Male,HR,"$46,810.69 ",7,South,4,Yes
373,Anna,38,Male,Marketing,"$46,602.59 ",13,East,6,Yes
374,Olivia,21,Male,Finance,"$77,033.00 ",2,South,5,No
375,John,48,Female,HR,"$90,580.90 ",30,North,3,Yes
376,Sophia,61,Female,Sales,"$36,787.35 ",22,South,3,Yes
377,Sophia,48,Male,R&D,"$82,048.93 ",1,South,9,No
378,John,40,Female,R&D,"$52,158.15 ",27,West,5,Yes
379,Anna,37,Female,Marketing,"$90,596.83 ",7,West,3,No
380,John,32,Male,Sales,"$102,919.43 ",1,South,8,No
381,Olivia,40,Female,IT,"$102,631.23 ",25,South,8,No
382,Liam,45,Female,Finance,"$63,287.52 ",4,North,3,Yes
383,Sophia,33,Female,Marketing,"$81,054.27 ",30,South,7,No
384,Emma,54,Female,HR,"$101,432.57 ",8,East,9,Yes
385,Emma,38,Male,R&D,"$35,472.92 ",21,West,3,Yes
386,Olivia,32,Female,HR,"$84,506.19 ",4,East,8,Yes
387,Mike,34,Female,Finance,"$105,286.98 ",4,South,1,No
388,Noah,54,Female,Sales,"$63,512.13 ",8,North,3,No
389,John,30,Male,Sales,"$70,986.73 ",26,East,4,Yes
390,John,36,Female,Marketing,"$92,885.53 ",29,South,3,No
391,Mike,47,Female,Marketing,"$36,109.62 ",16,West,9,No
392,Mike,62,Female,Sales,"$64,707.24 ",19,South,10,Yes
393,Olivia,35,Male,Marketing,"$56,613.97 ",1,West,5,No
394,Olivia,31,Male,Sales,"$31,529.48 ",37,North,3,No
395,Mike,53,Male,Finance,"$47,637.54 ",34,West,3,Yes
396,Sophia,53,Male,Marketing,"$65,629.52 ",29,South,2,Yes
397,Olivia,37,Male,Sales,"$47,768.58 ",27,North,10,Yes
398,Liam,36,Female,Marketing,"$84,215.85 ",30,West,6,No
399,Olivia,62,Male,HR,"$70,378.73 ",6,West,9,No
400,John,61,Female,R&D,"$33,553.32 ",36,East,7,Yes
401,Olivia,24,Male,HR,"$54,753.62 ",39,West,2,No
402,Sophia,61,Male,IT,"$31,752.91 ",2,South,9,No
403,Mike,21,Male,Sales,"$62,232.17 ",14,North,3,No
404,John,51,Female,IT,"$53,319.90 ",8,South,7,No
405,Olivia,19,Female,Sales,"$91,936.81 ",3,West,10,No
406,Sophia,22,Female,R&D,"$57,666.62 ",35,South,7,No
407,Liam,27,Male,Marketing,"$63,764.28 ",27,East,4,Yes
408,Olivia,49,Male,Sales,"$95,280.05 ",34,South,4,Yes
409,Sophia,59,Male,HR,"$73,282.59 ",28,North,2,Yes
410,Liam,58,Male,Marketing,"$80,080.89 ",31,North,2,No
411,Mike,30,Male,R&D,"$105,721.20 ",17,West,2,No
